India/State/UT,Total Schools,Total Enrolment,Total Teachers,Number of Schools with Single Teacher,Number of CWSN Enrolments,Number of Transgender Enrolments,Number of Teachers with Professional Qualification,<=50,51-100,101-150,151-200,201-250,251-300,>300,SC Enrolment (in %),ST Enrolment (in %),OBC Enrolment (in %),General Enrolment (in %),Muslim Enrolment (in %),Christian Enrolment (in %),Sikh Enrolment (in %),Buddhist Enrolment (in %),Parsi Enrolment (in %),Jain Enrolment (in %),Other Enrolment (in %),Percentage of Schools with Functional Electricity connection,Percentage of Schools with Functional Girls Toilet,Percentage of Schools with Functional CWSN friendly Toilet,Percentage of Schools with Handwash Facility,Percentage of Schools with Drinking Water,Percentage of Schools having Library/ Reading corner,Percentage of Schools with Internet Facility,Percentage of Schools with Computer Facility,Percentage of Schools with Ramp for CWSN,Percentage of Schools with Playground,Percentage of Schools having Kitchen Garden,Percentage of Schools having Rainwater harvesting,Percentage of Schools having Waste collection system,Percentage of Schools having separate room for Head Teacher/Principal,Percentage of Schools with boundary wall,Year,Average Dropout Rate,,,,
Odisha,62513,7701452,330501,8127,115871,74,319403,36.6,30.5,14.9,7.6,4.2,2.4,3.8,20.7,25.6,41.8,11.9,2.4,1.7,0,0,0,0,0,73.4,94.1,15,88,96.3,74.2,18.4,26.8,26.4,73.5,39.7,20.3,55.9,36.8,49.1,2019,0.3,,,,
Puducherry,727,252972,12628,17,2254,3,12604,7.8,9.3,9.8,9.6,8.5,7.6,47.4,17.5,0.1,52.9,29.5,6.3,4,0,0,0,0,0,100,100,75.7,100,100,96.8,98.8,98.5,92.8,92.7,42.4,45.8,96.3,81,92.2,2019,0.7,,,,
Punjab,27670,5937818,259451,2088,71012,81,257849,18.2,18.4,16.6,13.3,10.1,7.3,16.1,37.7,0.1,21.7,40.5,1.8,1.2,27.8,0,0,0.1,0,99.3,99.6,59.6,98.9,99.7,94.9,93.7,94.3,81.5,93.6,53.5,42.1,90.5,74.4,90.9,2019,0.2,,,,
Rajasthan,107021,17895286,707733,9985,140123,282,683057,11.1,20.5,20.7,15.8,10.9,7.3,13.7,19,16.7,47.9,16.4,9.1,0.1,0.3,0,0,0.3,0,93.6,97.6,24.4,91.5,98.2,78,34.6,42.4,40.7,78.5,28.4,31,63.2,42.3,65.6,2019,2.2,,,,
Sikkim,1250,129202,15150,85,725,0,14981,41.1,29.7,13.9,7.1,3.9,1.9,2.4,5.1,32.6,9.1,53.2,1.9,4.1,0.1,25.9,0,0,0.2,97.3,98.4,36.6,97.6,99,95.6,73,81.4,55.9,89.3,63.3,47.8,82.8,58.8,67,2019,2.6,,,,
Tamil Nadu,58837,12980993,561330,3628,158123,145,555364,30.5,22.7,15.6,10.5,7.3,5.1,8.3,22.1,1.3,63.9,12.7,6,8.4,0,0,0,0,0,98.4,98.5,40.2,96.4,98.9,92.5,56,65.3,62,83.1,50.3,47.9,87,62,78.8,2019,0,,,,
Telangana,42789,7074127,298914,2733,67123,105,294334,24.3,21.1,16.3,11.6,8.6,5.9,12.2,18.7,8.8,55.7,16.8,12.9,1,0.1,0,0,0,0,96.5,99.1,23.6,96.6,99.5,82.5,36.9,34.7,43.8,76.8,43.5,36.5,73.8,43.2,67.4,2019,0,,,,
Tripura,4931,699406,37537,291,7123,6,36453,22.9,27.7,19.4,11.9,7.3,4.4,6.4,18.4,37.2,6.4,38,8.7,3.2,0,3.3,0,0,0,62,91.2,12.9,83.9,95.5,83.2,12.7,20.5,24,72.2,38,11.9,51.2,38.4,40.4,2019,3.5,,,,
Uttar Pradesh,159620,25414197,842609,15371,345123,1065,859604,14,24.3,21.1,14.8,9.5,6.3,10,21.3,0.6,46.8,31.3,13.7,0.1,0.2,0.1,0,0.1,0,82.7,95.6,16.8,89.3,97.3,85.2,23,25.2,34,78.1,19.6,12,61.8,35,53.6,2019,1.3,,,,
Uttarakhand,18882,1832924,80121,2112,20812,23,79965,60.8,25.7,8.6,3.3,1.2,0.4,0,19.5,3.3,21.8,55.4,13.4,0.4,1.6,0.1,0,0,0,96.6,97.5,27,94.6,98.9,76.4,35.9,42.2,37.5,76.7,44.7,35.5,66.7,43.2,56.4,2019,1.9,,,,
West Bengal,91043,16819875,541178,7192,109123,156,539951,21.5,25.5,18.1,11.6,7.7,5.1,10.5,23,5.8,15.3,55.9,31.1,0.8,0.1,0.4,0,0,0.1,83.9,95.4,20.5,89.7,97.8,86.8,25,36.5,34.2,78.5,27.4,15.3,63.4,39.1,53.3,2019,3.6,,,,
India,1509136,253804461,9688320,121773,2191198,39634,8814777,28.1,24.8,15.5,9.4,6.1,4.2,12,19.3,10,44.7,26,14.2,1.8,1.8,0.5,0,0.2,0,84,93.9,24.5,90.3,97.3,84.4,33.9,43.1,48.2,82.1,27.7,24.3,66.1,45.3,61.6,2020,5.8,,,,
Andaman & Nicobar Islands,416,78601,5707,63,1015,3,5603,26.7,19.7,13.7,11.3,7.4,3.8,17.4,0,8.1,58.9,33,11.1,16.6,0.1,0.2,0,0,0.1,98.1,99.8,51,97.8,99.5,96.2,88.2,93.3,82.7,90.9,48.1,38.5,94,83.2,90.4,2020,3.2,,,,
Andhra Pradesh,62414,8728956,311497,8132,88463,220,321288,35.4,16.6,11,8,6.2,4.8,17.9,19,5.9,62.5,12.6,12,2.3,0,0,0,0,0,97.8,99.5,37.1,98.2,99.6,82.4,47.1,31.2,60.2,68.9,45.5,44.8,83.8,44.8,72.9,2020,5.7,,,,
Arunachal Pradesh,3628,330209,23579,769,2513,1,22823,55.5,23.9,9.5,4.2,2.2,1.3,3.3,0.3,71.8,5,22.9,1.3,18,0.1,2.8,0,0,0.3,71.7,92.1,16.2,85.1,95.1,91.3,29.3,31.2,31.2,83.9,58.6,29.1,63.5,54.1,32.1,2020,8.9,,,,
